Ok(Profile { program: Program2, repetitions: 10, row_count: 34000, col_count: 34000, element_count: 1156000000, element_sum: 19651422000000, time_min: 7120.257, time_max: 7136.486, time_mean: 7130.9326, time_stdev: 5.480329 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 34000, col_count: 34000, element_count: 1156000000, element_sum: 19651422000000, time_min: 44684.82, time_max: 44759.246, time_mean: 44714.727, time_stdev: 24.126255 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 35000, col_count: 35000, element_count: 1225000000, element_sum: 21436887500000, time_min: 574.562, time_max: 585.1026, time_mean: 579.2876, time_stdev: 3.185982 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 35000, col_count: 35000, element_count: 1225000000, element_sum: 21436887500000, time_min: 6017.7847, time_max: 6029.2207, time_mean: 6022.184, time_stdev: 3.290125 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 35000, col_count: 35000, element_count: 1225000000, element_sum: 21436887500000, time_min: 47264.16, time_max: 47338.57, time_mean: 47298.85, time_stdev: 21.083168 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 36000, col_count: 36000, element_count: 1296000000, element_sum: 23327352000000, time_min: 608.7888, time_max: 617.28033, time_mean: 613.81445, time_stdev: 3.0349035 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 36000, col_count: 36000, element_count: 1296000000, element_sum: 23327352000000, time_min: 8537.031, time_max: 8654.032, time_mean: 8574.418, time_stdev: 36.52325 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 36000, col_count: 36000, element_count: 1296000000, element_sum: 23327352000000, time_min: 55548.566, time_max: 56005.285, time_mean: 55817.023, time_stdev: 131.19933 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 37000, col_count: 37000, element_count: 1369000000, element_sum: 25325815500000, time_min: 633.626, time_max: 651.5342, time_mean: 644.9498, time_stdev: 4.9815116 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 37000, col_count: 37000, element_count: 1369000000, element_sum: 25325815500000, time_min: 6649.9854, time_max: 6662.9507, time_mean: 6654.478, time_stdev: 3.7741253 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 37000, col_count: 37000, element_count: 1369000000, element_sum: 25325815500000, time_min: 51447.31, time_max: 51582.348, time_mean: 51521.523, time_stdev: 49.576645 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 38000, col_count: 38000, element_count: 1444000000, element_sum: 27435278000000, time_min: 676.46484, time_max: 686.9197, time_mean: 681.7451, time_stdev: 3.3141046 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 38000, col_count: 38000, element_count: 1444000000, element_sum: 27435278000000, time_min: 9018.599, time_max: 9041.076, time_mean: 9027.63, time_stdev: 5.5607324 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 38000, col_count: 38000, element_count: 1444000000, element_sum: 27435278000000, time_min: 56353.914, time_max: 57758.797, time_mean: 56570.633, time_stdev: 419.80936 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 39000, col_count: 39000, element_count: 1521000000, element_sum: 29658739500000, time_min: 715.3454, time_max: 722.9303, time_mean: 718.92847, time_stdev: 2.5470793 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 39000, col_count: 39000, element_count: 1521000000, element_sum: 29658739500000, time_min: 7559.729, time_max: 7575.3975, time_mean: 7568.3545, time_stdev: 4.4049277 })
